Date,Rate,Previous,Lag1Order2,Direction
2014-01-01 18:00,-0.0010699999999999044,2.14793,0.000540000000000429,0
2014-01-01 19:01,-6.000000000039307e-05,2.146860000,-0.0004499999999998394,0
2014-01-01 20:00,0.00048000000000003595,2.146800000,-0.0003700000000002035,1
2014-01-01 21:00,3.0000000000196536e-05,2.147280000,0.00034000000000000696,1
2014-01-01 22:01,-0.00034000000000000696,2.147310000,-0.00041000000000002146,0
2014-01-01 23:00,0.0,2.146970000,-0.00016000000000016001,0
2014-01-02 00:00,-0.00041000000000002146,2.146970000,0.0049200000000002575,0
2014-01-02 01:00,-0.0005700000000001815,2.146560000,0.010930000000000106,0
2014-01-02 02:00,0.004350000000000076,2.145990000,-0.022380000000000067,1
2014-01-02 03:00,0.015280000000000182,2.150340000,0.014189999999999703,1
2014-01-02 04:00,-0.007099999999999884,2.165620000,0.00649999999999995,0
2014-01-02 05:00,0.007089999999999819,2.158520000,-0.017189999999999372,1
2014-01-02 06:00,0.013589999999999769,2.165610000,0.011899999999999356,1
2014-01-02 07:00,-0.0035999999999996035,2.179200000,-0.011199999999999655,0
2014-01-02 08:00,0.008299999999999752,2.175600000,0.00019999999999997797,1
2014-01-02 09:00,-0.0028999999999999027,2.183900000,-0.003150000000000208,0
2014-01-02 10:00,-0.0026999999999999247,2.181000000,0.0044400000000002215,0
2014-01-02 11:00,-0.005850000000000133,2.178300000,0.0012699999999998823,0
2014-01-02 12:00,-0.0014099999999999113,2.172450000,0.0013899999999997803,0
2014-01-02 13:00,-0.000140000000000029,2.171040000,0.00017000000000022553,0
2014-01-02 14:00,0.0012499999999997513,2.170900000,0.0007700000000001594,1
2014-01-02 15:00,0.0014199999999999768,2.172150000,-0.006180000000000074,1
2014-01-02 16:00,0.0021900000000001363,2.173570000,0.004669999999999952,1
2014-01-02 17:00,-0.003989999999999938,2.175760000,-0.002060000000000173,0
2014-01-02 18:00,0.0006800000000000139,2.171770000,0.001420000000000421,1
2014-01-02 19:00,-0.0013800000000001589,2.172450000,0.00022999999999973042,0
2014-01-02 20:00,4.000000000026205e-05,2.171070000,-0.000280000000000058,1
2014-01-02 21:00,0.00026999999999999247,2.171110000,-0.0003500000000000725,1
2014-01-02 22:00,-1.0000000000065512e-05,2.171380000,0.003750000000000142,0
2014-01-02 23:00,-0.000360000000000138,2.171370000,-0.005640000000000089,0
2014-01-03 00:00,0.003390000000000004,2.171010000,0.007370000000000321,1
2014-01-03 01:00,-0.0022500000000000853,2.174400000,-0.014020000000000366,0
2014-01-03 02:00,0.0051200000000002355,2.172150000,0.00743000000000027,1
2014-01-03 03:00,-0.00890000000000013,2.177270000,0.0023199999999996557,0
2014-01-03 04:00,-0.0014699999999998603,2.168370000,0.00759000000000043,0
2014-01-03 05:00,0.0008499999999997954,2.166900000,-0.01053000000000015,1
2014-01-03 06:00,0.008440000000000225,2.167750000,0.0006999999999997009,1
2014-01-03 07:00,-0.0020899999999999253,2.176190000,0.0015800000000001369,0
2014-01-03 08:00,-0.0013900000000002244,2.174100000,0.004260000000000375,0
2014-01-03 09:00,0.00018999999999991246,2.172710000,-0.0035500000000006082,1
2014-01-03 10:00,0.004450000000000287,2.172900000,0.00011000000000072063,1
2014-01-03 11:00,0.0008999999999996788,2.177350000,-0.002660000000000551,1
2014-01-03 12:00,0.0010100000000003995,2.178250000,0.0029400000000001647,1
2014-01-03 13:00,-0.0016500000000001513,2.179260000,-0.0025500000000002743,0
2014-01-03 14:00,0.0012900000000000134,2.177610000,0.0017700000000004934,1
2014-01-03 15:04,-0.001260000000000261,2.178900000,-0.004010000000000069,0
2014-01-03 16:00,0.0005100000000002325,2.177640000,0.004869999999999486,1
2014-01-05 17:01,-0.0034999999999998366,2.178150000,-0.0011199999999993437,0
2014-01-05 18:00,0.0013699999999996493,2.174650000,-0.00018000000000029104,1
2014-01-05 19:00,0.00025000000000030553,2.176020000,0.0002899999999996794,1
2014-01-05 20:00,7.00000000000145e-05,2.176270000,-0.0011699999999996713,1
2014-01-05 21:00,0.0003599999999996939,2.176340000,0.0005700000000001815,1
2014-01-05 22:00,-0.0008099999999999774,2.176700000,0.0028199999999998226,0
2014-01-05 23:03,-0.00023999999999979593,2.175890000,-0.0032600000000000406,0
2014-01-06 00:01,0.0025800000000000267,2.175650000,0.0002999999999997449,1
2014-01-06 01:00,-0.0006800000000000139,2.178230000,0.012880000000000447,0
2014-01-06 02:00,-0.000380000000000269,2.177550000,-0.011270000000000113,0
2014-01-06 03:00,0.012500000000000178,2.177170000,0.0005099999999997884,1
2014-01-06 04:00,0.0012300000000000644,2.189670000,-0.007979999999999876,1
2014-01-06 05:00,0.0017399999999998528,2.190900000,0.005700000000000038,1
2014-01-06 06:00,-0.006240000000000023,2.192640000,0.007540000000000102,0
2014-01-06 07:00,-0.0005399999999999849,2.186400000,-0.01293000000000033,0
2014-01-06 08:00,0.007000000000000117,2.185860000,0.0024000000000001798,1
2014-01-06 09:00,-0.005930000000000213,2.192860000,-0.0010199999999995768,0
2014-01-06 10:00,-0.003530000000000033,2.186930000,0.0034799999999992615,0
2014-01-06 11:00,-0.00454999999999961,2.183400000,-0.0015399999999994307,0
2014-01-06 12:00,-0.0010700000000003485,2.178850000,0.002889999999999837,0
2014-01-06 13:00,-0.002609999999999779,2.177780000,-0.000500000000000167,0
2014-01-06 14:00,0.000280000000000058,2.175170000,-0.002409999999999801,1
2014-01-06 15:03,-0.000220000000000109,2.175450000,0.0011099999999997223,0
2014-01-06 16:00,-0.00262999999999991,2.175230000,0.0001500000000000945,0
